date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,31.05,31.45,30.95,31.2,2389441
2022-01-04 00:00:00+05:30,31.4,31.65,31.05,31.35,5352834
2022-01-05 00:00:00+05:30,31.5,31.6,31.2,31.5,3605860
2022-01-06 00:00:00+05:30,31.7,32.55,31.6,32.05,12588694
2022-01-07 00:00:00+05:30,32.15,32.25,31.05,31.2,7081993
2022-01-10 00:00:00+05:30,31.5,31.95,31.3,31.55,4365834
2022-01-11 00:00:00+05:30,30.95,31.45,30.9,31.05,3487172
2022-01-12 00:00:00+05:30,31.2,32.05,31.1,31.5,5834931
2022-01-13 00:00:00+05:30,31.8,32.1,31.25,31.7,5536473
2022-01-14 00:00:00+05:30,31.75,31.75,31.1,31.2,5556716
2022-01-17 00:00:00+05:30,31.35,31.7,31.25,31.45,7092680
2022-01-18 00:00:00+05:30,31.65,31.75,31.2,31.3,4155691
2022-01-19 00:00:00+05:30,31.4,31.45,31.05,31.1,2310667
2022-01-20 00:00:00+05:30,31.05,31.2,30.6,30.65,4358241
2022-01-21 00:00:00+05:30,30.6,31,30.35,30.45,3541778
2022-01-24 00:00:00+05:30,30.4,30.45,29.55,29.8,3780076
2022-01-25 00:00:00+05:30,29.7,30.25,29.35,29.9,4304781
2022-01-27 00:00:00+05:30,29.9,31.45,29.85,29.95,3808475
2022-01-28 00:00:00+05:30,30.15,30.4,29.65,29.75,8797384
2022-01-31 00:00:00+05:30,30,30.15,29.8,30,3324551
2022-02-01 00:00:00+05:30,30.2,30.25,29.8,29.9,3268283
2022-02-02 00:00:00+05:30,30.2,30.35,29.9,29.95,3171121
2022-02-03 00:00:00+05:30,30,30.35,29.9,29.95,3706845
2022-02-04 00:00:00+05:30,30.15,30.2,29.85,29.9,2252827
2022-02-07 00:00:00+05:30,30,30.1,29.85,29.95,2895330
2022-02-08 00:00:00+05:30,29.95,30.05,29.5,29.55,3674570
2022-02-09 00:00:00+05:30,29.75,29.8,29.6,29.75,2558294
2022-02-10 00:00:00+05:30,29.8,29.8,29.4,29.6,4339168
2022-02-11 00:00:00+05:30,29.5,29.6,29.1,29.3,3409504
2022-02-14 00:00:00+05:30,29,29.85,28.7,29.45,5479007
2022-02-15 00:00:00+05:30,29.5,30.1,29.25,29.85,6260947
2022-02-16 00:00:00+05:30,29.95,30.1,29.9,30,1854214
2022-02-17 00:00:00+05:30,30.1,30.3,29.85,29.95,4180425
2022-02-18 00:00:00+05:30,29.95,30.15,29.9,29.95,2232378
2022-02-21 00:00:00+05:30,30.1,30.15,29.75,30.05,3801085
2022-02-22 00:00:00+05:30,28.65,29,28.55,28.8,4775889
2022-02-23 00:00:00+05:30,28.8,28.85,28.2,28.25,3717405
2022-02-24 00:00:00+05:30,27.85,28.2,27.15,27.25,7407497
2022-02-25 00:00:00+05:30,27.65,28.15,27.25,27.7,5890171
2022-02-28 00:00:00+05:30,27.4,27.95,27.05,27.4,4516866
2022-03-02 00:00:00+05:30,27.3,29.5,27.25,29.1,7467734
2022-03-03 00:00:00+05:30,29.4,29.7,28.35,29.3,5384076
2022-03-04 00:00:00+05:30,29.3,29.3,28,28.05,5297945
2022-03-07 00:00:00+05:30,27.7,28.85,27.65,28.65,6072026
2022-03-08 00:00:00+05:30,28.75,29.2,28.3,28.65,5395346
2022-03-09 00:00:00+05:30,29.1,29.15,28.8,28.85,3259116
2022-03-10 00:00:00+05:30,29.25,29.25,28.5,28.55,2787791
2022-03-11 00:00:00+05:30,28.75,28.8,28.3,28.45,3275611
2022-03-14 00:00:00+05:30,28.65,28.7,27.85,28.1,9659681
2022-03-15 00:00:00+05:30,28.3,28.45,28.05,28.15,7059706
2022-03-16 00:00:00+05:30,28.35,28.45,28,28.3,8735064
2022-03-17 00:00:00+05:30,28.4,28.5,27.85,28.05,13183789
2022-03-21 00:00:00+05:30,28.25,28.55,27.8,27.9,7828677
2022-03-22 00:00:00+05:30,28,28.1,27.8,27.85,2685177
2022-03-23 00:00:00+05:30,27.85,28.05,27.4,27.45,4705969
2022-03-24 00:00:00+05:30,27.35,27.85,27.3,27.4,5313291
2022-03-25 00:00:00+05:30,27.65,27.65,27.2,27.25,3000370
2022-03-28 00:00:00+05:30,27.3,27.7,27.15,27.4,9652721
2022-03-29 00:00:00+05:30,27.45,27.95,27.05,27.35,54180022
2022-03-30 00:00:00+05:30,27.5,27.65,27.25,27.3,9478663
2022-03-31 00:00:00+05:30,27.35,29.65,27.3,27.8,15970927
2022-04-01 00:00:00+05:30,27.8,28.4,27.55,27.85,10739176
2022-04-04 00:00:00+05:30,28.3,28.75,28.15,28.5,7400381
2022-04-05 00:00:00+05:30,28.6,29.85,28.3,29.6,13070901
2022-04-06 00:00:00+05:30,29.8,30.15,29.35,29.6,14502551
2022-04-07 00:00:00+05:30,29.75,31.3,29.15,30.75,25111556
2022-04-08 00:00:00+05:30,30.9,31.35,30.4,30.55,10576793
